seed,cost_suez,cost_cape,cost_basestock,cost_oracle,headroom,best_fixed,stress_disruption,stress_freight,stress_port,stress_quality,stress_supplier,stress_demand,max_overlap,overlap_weeks,spot_died,port_block_longest,fog_disruption,fog_freight,fog_port,fog_quality,fog_supplier,fog_demand,fog
93,5909.28,8324.419999999998,5609.9424,6130.2588,-520.3163999999997,5909.28,0,0,0,0,2,10,2,2,0,0,0.0,0.0,nan,0.5,0.0,0.4,0.18
94,7631.256000000001,9982.884000000002,7853.1548,6132.750800000001,1720.4039999999995,7631.256000000001,0,5,5,2,9,8,3,10,1,3,nan,0.4,0.0,1.3333333333333333,0.0,0.5,0.44666666666666666
95,12094.840000000002,14429.759999999997,9466.946000000004,7506.502400000001,1960.4436000000023,12094.840000000002,0,6,8,0,0,9,2,6,0,8,0.0,0.5,0.5,nan,0.0,1.0,0.4
96,8668.496,10359.743999999999,7502.948800000001,5942.605599999999,1560.343200000002,8668.496,3,1,6,2,0,0,2,1,0,5,0.0,0.0,0.2,1.0,0.0,nan,0.24
97,9070.312,9649.967999999999,6557.5084,6085.089600000001,472.41879999999855,9070.312,3,0,7,0,0,0,1,0,0,5,0.0,0.4,0.0,0.0,nan,nan,0.1
98,6800.327999999998,10159.991999999998,6868.925199999999,6294.618400000001,574.3067999999976,6800.327999999998,1,8,1,0,3,0,2,2,0,1,0.0,0.2857142857142857,0.0,nan,0.25,nan,0.13392857142857142
99,10011.527999999998,11376.291999999998,9638.378400000001,7677.8904,1960.4880000000012,10011.527999999998,4,0,10,0,2,12,3,8,0,5,0.0,1.0,0.14285714285714285,0.0,0.6666666666666666,1.6,0.5682539682539682
100,6477.967999999998,7751.952,6986.358399999999,5823.666,1162.692399999999,6477.967999999998,2,0,3,0,13,9,3,7,1,1,0.0,0.5,0.0,0.0,0.0,0.4,0.15
101,7101.6,9138.9,7331.3392,8587.503999999999,-1256.1647999999986,7101.6,1,1,0,0,23,15,3,14,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
102,6277.559999999999,8247.84,5972.9272,5774.2524,198.67479999999978,6277.559999999999,0,0,4,7,4,0,2,1,0,2,0.0,0.0,0.0,1.25,0.5,nan,0.35
